stop_id_clean,canonical_stop_name,canonical_name_rows,stop_name_variant_count,total_named_rows,stop_name_examples
1349,Hasbrouck Apts,14208,2,15805,Hasbrouck Apts | HasbrouckApts
1325,Thurston at Bal,13135,2,14152,Thurston at Bal | Thurston@Balch
1342,Northcross @ Je,8763,2,9736,Northcross @ Je | Northcrs@Jessup
1355,Jessup @ Tripha,8709,2,9484,Jessup @ Tripha | Jessup@Trphamr
1111,University @ Co,8052,2,8952,University @ Co | Univ@CornellAv
1358,Triphammer @ De,7540,2,8277,Triphammer @ De | Trphamr@Dearbrn
1332,McClintock Hall,7476,2,8164,McClintock Hall | McClintHall
337,Ithaca College,6243,2,6609,Ithaca College | IC-Garden Apts
3560,Warrenwood Apts,5624,2,6327,Warrenwood Apts | Uptwn@WarrenwAp
1545,Bradfield Hall,5158,2,5678,Bradfield Hall | BradfieldHal-Ac
1704,State/MLK @ Qua,5003,2,5494,State/MLK @ Qua | State@Quarry
561,Elmira @ Meadow,4775,2,5172,Elmira @ Meadow | Elmira@Meadow
3579,Cayuga Mall,4203,2,4600,Cayuga Mall | Trphamr@CayuMal
1713,Mitchell @ Coll,4026,2,4536,Mitchell @ Coll | Mitchel@College
372,College Circle,4272,2,4501,College Circle | Coll Cir N Ent
1360,Triphammer @ Co,3867,2,4315,Triphammer @ Co | Triphamr@CntryC
1751,Humphreys Servi,3705,2,4161,Humphreys Servi | HumphrySvceBldg
1752,Humphreys Servi,3690,2,4078,Humphreys Servi | HumphrySvceBldg
373,College Circle,3162,2,3985,College Circle | CCA-Community
679,State/MLK at In,3650,2,3954,State/MLK at In | State@Inlet Isl
1702,State/MLK @ Ste,3508,2,3916,State/MLK @ Ste | State@Stewart
3522,Triphammer at K,3486,2,3757,Triphammer at K | Trphmr@Kendal
351,Ithaca College,3427,2,3663,Ithaca College | IC-Terrace Apts
3744,Warren @ Northw,3552,2,3591,Warren @ Northw | Warren@Northwo
1710,College @ Mitch,3098,2,3542,College @ Mitch | College@Mitchel
545,South Meadow Ma,3055,2,3386,South Meadow Ma | S Meadow Mkt
110,Geneva @ State/,2923,2,3255,Geneva @ State/ | Geneva @ State
1721,Stewart @ Senec,2960,2,3226,Stewart @ Senec | Stewart@Seneca
1725,Stewart @ Willi,2927,2,3219,Stewart @ Willi | Stewart@William
1712,Mitchell @ Coll,2790,2,3120,Mitchell @ Coll | Mitchel@College
3556,Gaslight Villag,2680,2,3068,Gaslight Villag | GasltVillagApts
736,Linderman Creek,2846,2,3052,Linderman Creek | LindermanCrkApt
1726,Stewart @ Willi,2707,2,3000,Stewart @ Willi | Stewart@William
3548,Cinema @ Sherat,2644,2,2976,Cinema @ Sherat | Cinema@Sheraton
1316,Highland @ Lake,2560,2,2838,Highland @ Lake | Highlnd@Lakelnd
1327,Cradit Farm @ T,2537,2,2795,Cradit Farm @ T | Cradit@Thurston
