route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,route_stop_group
15,549,WalMart,7266,7266,4412,2854,879,4412,2854,0.19922937443336355,True,exclude_or_sensitivity
32,165,Green Commons,6589,6589,3142,3447,620,3142,3447,0.19732654360280077,True,exclude_or_sensitivity
81,1547,Dairy Bar,6384,6384,4501,1883,1592,4501,1883,0.35369917796045325,True,exclude_or_sensitivity
10,1534,Sage Hall,6240,6240,6240,0,4951,6240,0,0.7934294871794871,False,exclude_or_sensitivity
15,100,Seneca Commons,5979,5979,4461,1518,1015,4461,1518,0.2275274602107151,True,exclude_or_sensitivity
51,165,Green Commons,5962,5962,3231,2731,670,3231,2731,0.20736614051377283,True,exclude_or_sensitivity
30,3593,Tops Supermarke,5848,5848,3211,2637,1093,3211,2637,0.34039240112114605,True,exclude_or_sensitivity
11,172,Aurora Commons,4335,4335,2070,2265,426,2070,2265,0.20579710144927535,True,exclude_or_sensitivity
30,100,Seneca Commons,4322,4322,2193,2129,938,2193,2129,0.4277245782033744,True,exclude_or_sensitivity
82,1774,E Hill Plaza,4229,4229,2635,1594,772,2635,1594,0.29297912713472485,True,exclude_or_sensitivity
10,100,Seneca Commons,4132,4132,4132,0,1387,4132,0,0.3356727976766699,False,exclude_or_sensitivity
90,165,Green Commons,4131,4131,0,4131,0,0,4131,,False,exclude_or_sensitivity
30,3525,Lansing West Ap,4027,4027,2809,1218,846,2809,1218,0.3011747953008188,True,exclude_or_sensitivity
31,1534,Sage Hall,3908,3908,2787,1121,811,2787,1121,0.2909939002511661,True,exclude_or_sensitivity
10,1524,Goldwin Smith,3607,3607,3607,0,2925,3607,0,0.8109232048794012,False,exclude_or_sensitivity
14,100,Seneca Commons,3341,3341,2039,1302,739,2039,1302,0.3624325649828347,True,exclude_or_sensitivity
15,541,Wegmans,3209,3209,2207,1002,565,2207,1002,0.2560036248300861,True,exclude_or_sensitivity
90,1719,College @ Oak,3157,3157,0,3157,0,0,3157,,False,exclude_or_sensitivity
30,1355,Jessup @ Tripha,2729,2729,1452,1277,708,1452,1277,0.48760330578512395,True,exclude_or_sensitivity
67,100,Seneca Commons,2649,2649,1497,1152,422,1497,1152,0.2818971275885104,True,exclude_or_sensitivity
90,1330,Appel Commons,2513,2513,0,2513,0,0,2513,,False,exclude_or_sensitivity
30,1714,Catherine Commo,2269,2269,1094,1175,630,1094,1175,0.5758683729433273,True,exclude_or_sensitivity
31,1525,Rockefeller Hal,2190,2190,1505,685,838,1505,685,0.5568106312292359,True,exclude_or_sensitivity
92,1716,Schwartz CPA,2154,2154,0,2154,0,0,2154,,False,exclude_or_sensitivity
40,165,Green Commons,2147,2147,2147,0,160,2147,0,0.07452258965999069,False,exclude_or_sensitivity
30,112,Albany at Salva,1964,1964,1252,712,583,1252,712,0.46565495207667734,True,exclude_or_sensitivity
92,1512,Baker Flag Slop,1860,1860,0,1860,0,0,1860,,False,exclude_or_sensitivity
10,1511,Boldt Hall,1839,1839,1839,0,1371,1839,0,0.7455138662316476,False,exclude_or_sensitivity
21,1542,Kennedy Hall,1653,1653,1633,20,1468,1633,20,0.898958971218616,False,exclude_or_sensitivity
90,1531,Carpenter Hall,1652,1652,0,1652,0,0,1652,,False,exclude_or_sensitivity
30,3712,PleasGrove@Hans,1620,1620,1110,510,525,1110,510,0.47297297297297297,True,exclude_or_sensitivity
90,1534,Sage Hall,1545,1545,0,1545,0,0,1545,,False,exclude_or_sensitivity
90,1525,Rockefeller Hal,1508,1508,0,1508,0,0,1508,,False,exclude_or_sensitivity
90,1533,Statler Hall,1502,1502,0,1502,0,0,1502,,False,exclude_or_sensitivity
30,3579,Cayuga Mall,1396,1396,780,616,261,780,616,0.3346153846153846,True,exclude_or_sensitivity
20,100,Seneca Commons,1388,1388,1388,0,56,1388,0,0.040345821325648415,False,exclude_or_sensitivity
90,1524,Goldwin Smith,1378,1378,0,1378,0,0,1378,,False,exclude_or_sensitivity
67,1534,Sage Hall,1279,1279,1279,0,1044,1279,0,0.8162627052384676,False,exclude_or_sensitivity
30,1710,College @ Mitch,1246,1246,627,619,261,627,619,0.41626794258373206,True,exclude_or_sensitivity
15,561,Elmira @ Meadow,1244,1244,768,476,358,768,476,0.4661458333333333,True,exclude_or_sensitivity
92,1330,Appel Commons,1224,1224,0,1224,0,0,1224,,False,exclude_or_sensitivity
65,172,Aurora Commons,1156,1156,1119,37,252,1119,37,0.225201072386059,False,exclude_or_sensitivity
90,1326,Risley Hall - S,1149,1149,0,1149,0,0,1149,,False,exclude_or_sensitivity
10,103,Tioga @ Court,1117,1117,1117,0,652,1117,0,0.5837063563115488,False,exclude_or_sensitivity
90,1343,RPCC,1107,1107,0,1107,0,0,1107,,False,exclude_or_sensitivity
30,1704,State/MLK @ Qua,1078,1078,523,555,247,523,555,0.4722753346080306,True,exclude_or_sensitivity
21,1540,Uris Hall Acros,1064,1064,1041,23,831,1041,23,0.7982708933717579,False,exclude_or_sensitivity
15,545,South Meadow Ma,1039,1039,596,443,279,596,443,0.46812080536912754,True,exclude_or_sensitivity
10,1113,University @ La,1022,1022,1022,0,711,1022,0,0.6956947162426614,False,exclude_or_sensitivity
92,1513,Baker Flag,1016,1016,0,1016,0,0,1016,,False,exclude_or_sensitivity
90,1530,Anabel Taylor H,972,972,0,972,0,0,972,,False,exclude_or_sensitivity
30,3587,Graham@Butler,945,945,567,378,223,567,378,0.3932980599647266,True,exclude_or_sensitivity
67,1542,Kennedy Hall,939,939,939,0,839,939,0,0.8935037273695421,False,exclude_or_sensitivity
21,1555,Vet School,933,933,923,10,568,923,10,0.6153846153846154,False,exclude_or_sensitivity
32,1712,Mitchell @ Coll,876,876,597,279,355,597,279,0.5946398659966499,True,exclude_or_sensitivity
92,1531,Carpenter Hall,845,845,0,845,0,0,845,,False,exclude_or_sensitivity
21,1544,Bradfield Hall,840,840,833,7,773,833,7,0.9279711884753902,False,exclude_or_sensitivity
31,3936,Lab of Ornith,820,820,693,127,288,693,127,0.4155844155844156,True,exclude_or_sensitivity
90,1716,Schwartz CPA,818,818,0,818,0,0,818,,False,exclude_or_sensitivity
92,1508,University @ St,805,805,0,805,0,0,805,,False,exclude_or_sensitivity
37,1543,Corson/Mudd Hal,780,780,778,2,679,778,2,0.8727506426735219,False,exclude_or_sensitivity
15,110,Geneva @ State/,774,774,600,174,152,600,174,0.25333333333333335,True,exclude_or_sensitivity
20,1534,Sage Hall,759,759,759,0,656,759,0,0.8642951251646904,False,exclude_or_sensitivity
37,1555,Vet School,737,737,703,34,512,703,34,0.7283072546230441,False,exclude_or_sensitivity
92,1326,Risley Hall - S,731,731,0,731,0,0,731,,False,exclude_or_sensitivity
65,1534,Sage Hall,715,715,715,0,527,715,0,0.737062937062937,False,exclude_or_sensitivity
14S,549,WalMart,714,714,714,0,12,714,0,0.01680672268907563,False,exclude_or_sensitivity
11,100,Seneca Commons,710,710,465,245,81,465,245,0.17419354838709677,True,exclude_or_sensitivity
