source_month,event_time,ts,ts_event,ts_vhist,bus,tr_seq,route_clean,stop_id_clean,stop_name_raw_clean,text_clean,description_clean,media_text_clean,corrected_rider_num
01,2025-01-14 18:19:47,2025-01-14 18:17:54,2025-01-14 18:19:47,,1603,26.0,30,1524,GoldwinSmithHl,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:21:40,2025-01-14 18:19:16,2025-01-14 18:21:40,,1603,28.0,30,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:21:40,2025-01-14 18:19:16,2025-01-14 18:21:40,,1603,28.0,30,1534,Sage Hall,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:29:26,2025-01-14 18:28:45,2025-01-14 18:29:26,,1603,40.0,30,100,Commons-Seneca,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:29:26,2025-01-14 18:28:45,2025-01-14 18:29:26,,1603,40.0,30,100,Commons-Seneca,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:45:28,2025-01-14 18:42:19,2025-01-14 18:45:28,,1603,43.0,30,165,Commons-GreenSt,Got fare,,,1
01,2025-01-14 18:45:28,2025-01-14 18:42:19,2025-01-14 18:45:28,,1603,43.0,30,165,Commons-GreenSt,Got fare,,,1
01,2025-01-14 18:45:28,2025-01-14 18:42:40,2025-01-14 18:45:28,,1603,44.0,30,165,Commons-GreenSt,Got fare,RA2  Senior 60 & Up,HalfFare,1
01,2025-01-14 18:45:28,2025-01-14 18:42:40,2025-01-14 18:45:28,,1603,44.0,30,165,Commons-GreenSt,Got fare,RA2  Senior 60 & Up,HalfFare,1
01,2025-01-14 18:57:20,2025-01-14 18:53:24,2025-01-14 18:57:20,,1603,45.0,30,1525,Rockefeller Hl,Special card,Cornell Card,Cornell,1
01,2025-01-14 18:57:20,2025-01-14 18:53:24,2025-01-14 18:57:20,,1603,45.0,30,1525,Rockefeller Hl,Special card,Cornell Card,Cornell,1
01,2025-01-14 19:20:31,2025-01-14 19:18:38,2025-01-14 19:20:31,,1603,50.0,30,3588,Ithaca Mall,Special card,Cornell Card,Cornell,1
