route_clean,stop_id_clean,canonical_stop_name,boards,rows,pre_boards,post_boards,pre_cornell_card_rows,pre_rows,post_rows,pre_cornell_card_share,has_balanced_near6_sample,didisc_group
32,165,Green Commons,6593,6593,3143,3450,621,3143,3450,0.19758192809417754,True,exclude_or_sensitivity
81,1547,Dairy Bar,6392,6392,4507,1885,1598,4507,1885,0.35455957399600624,True,exclude_or_sensitivity
10,1534,Sage Hall,6240,6240,6240,0,4951,6240,0,0.7934294871794871,False,exclude_or_sensitivity
51,165,Green Commons,5992,5992,3243,2749,676,3243,2749,0.20844896700585877,True,exclude_or_sensitivity
15,100,Seneca Commons,5984,5984,4466,1518,1017,4466,1518,0.2277205553067622,True,exclude_or_sensitivity
30,3593,Tops Supermarke,5850,5850,3213,2637,1095,3213,2637,0.3408029878618114,True,exclude_or_sensitivity
11,172,Aurora Commons,4339,4339,2072,2267,426,2072,2267,0.2055984555984556,True,exclude_or_sensitivity
30,100,Seneca Commons,4334,4334,2195,2139,938,2195,2139,0.4273348519362187,True,exclude_or_sensitivity
82,1774,E Hill Plaza,4230,4230,2635,1595,772,2635,1595,0.29297912713472485,True,exclude_or_sensitivity
90,165,Green Commons,4139,4139,0,4139,0,0,4139,,False,exclude_or_sensitivity
10,100,Seneca Commons,4132,4132,4132,0,1387,4132,0,0.3356727976766699,False,exclude_or_sensitivity
30,3525,Lansing West Ap,4030,4030,2810,1220,846,2810,1220,0.301067615658363,True,exclude_or_sensitivity
31,1534,Sage Hall,3908,3908,2787,1121,811,2787,1121,0.2909939002511661,True,exclude_or_sensitivity
10,1524,Goldwin Smith,3607,3607,3607,0,2925,3607,0,0.8109232048794012,False,exclude_or_sensitivity
14,100,Seneca Commons,3344,3344,2042,1302,740,2042,1302,0.3623898139079334,True,exclude_or_sensitivity
15,541,Wegmans,3213,3213,2210,1003,566,2210,1003,0.25610859728506785,True,exclude_or_sensitivity
90,1719,College @ Oak,3160,3160,0,3160,0,0,3160,,False,exclude_or_sensitivity
30,1355,Jessup @ Tripha,2731,2731,1454,1277,710,1454,1277,0.48830811554332876,True,exclude_or_sensitivity
67,100,Seneca Commons,2649,2649,1497,1152,422,1497,1152,0.2818971275885104,True,exclude_or_sensitivity
90,1330,Appel Commons,2516,2516,0,2516,0,0,2516,,False,exclude_or_sensitivity
30,1714,Catherine Commo,2273,2273,1097,1176,633,1097,1176,0.577028258887876,True,exclude_or_sensitivity
31,1525,Rockefeller Hal,2190,2190,1505,685,838,1505,685,0.5568106312292359,True,exclude_or_sensitivity
92,1716,Schwartz CPA,2163,2163,0,2163,0,0,2163,,False,exclude_or_sensitivity
40,165,Green Commons,2147,2147,2147,0,160,2147,0,0.07452258965999069,False,exclude_or_sensitivity
30,112,Albany at Salva,1964,1964,1252,712,583,1252,712,0.46565495207667734,True,exclude_or_sensitivity
92,1512,Baker Flag Slop,1868,1868,0,1868,0,0,1868,,False,exclude_or_sensitivity
10,1511,Boldt Hall,1839,1839,1839,0,1371,1839,0,0.7455138662316476,False,exclude_or_sensitivity
21,1542,Kennedy Hall,1653,1653,1633,20,1468,1633,20,0.898958971218616,False,exclude_or_sensitivity
90,1531,Carpenter Hall,1652,1652,0,1652,0,0,1652,,False,exclude_or_sensitivity
30,3712,PleasGrove@Hans,1620,1620,1110,510,525,1110,510,0.47297297297297297,True,exclude_or_sensitivity
90,1534,Sage Hall,1549,1549,0,1549,0,0,1549,,False,exclude_or_sensitivity
90,1525,Rockefeller Hal,1508,1508,0,1508,0,0,1508,,False,exclude_or_sensitivity
90,1533,Statler Hall,1505,1505,0,1505,0,0,1505,,False,exclude_or_sensitivity
30,3579,Cayuga Mall,1396,1396,780,616,261,780,616,0.3346153846153846,True,exclude_or_sensitivity
20,100,Seneca Commons,1388,1388,1388,0,56,1388,0,0.040345821325648415,False,exclude_or_sensitivity
90,1524,Goldwin Smith,1382,1382,0,1382,0,0,1382,,False,exclude_or_sensitivity
67,1534,Sage Hall,1279,1279,1279,0,1044,1279,0,0.8162627052384676,False,exclude_or_sensitivity
30,1710,College @ Mitch,1246,1246,627,619,261,627,619,0.41626794258373206,True,exclude_or_sensitivity
15,561,Elmira @ Meadow,1245,1245,768,477,358,768,477,0.4661458333333333,True,exclude_or_sensitivity
92,1330,Appel Commons,1228,1228,0,1228,0,0,1228,,False,exclude_or_sensitivity
65,172,Aurora Commons,1156,1156,1119,37,252,1119,37,0.225201072386059,False,exclude_or_sensitivity
90,1326,Risley Hall - S,1152,1152,0,1152,0,0,1152,,False,exclude_or_sensitivity
10,103,Tioga @ Court,1117,1117,1117,0,652,1117,0,0.5837063563115488,False,exclude_or_sensitivity
90,1343,RPCC,1107,1107,0,1107,0,0,1107,,False,exclude_or_sensitivity
30,1704,State/MLK @ Qua,1079,1079,524,555,248,524,555,0.4732824427480916,True,exclude_or_sensitivity
21,1540,Uris Hall Acros,1064,1064,1041,23,831,1041,23,0.7982708933717579,False,exclude_or_sensitivity
15,545,South Meadow Ma,1041,1041,598,443,280,598,443,0.4682274247491639,True,exclude_or_sensitivity
10,1113,University @ La,1022,1022,1022,0,711,1022,0,0.6956947162426614,False,exclude_or_sensitivity
92,1513,Baker Flag,1018,1018,0,1018,0,0,1018,,False,exclude_or_sensitivity
90,1530,Anabel Taylor H,973,973,0,973,0,0,973,,False,exclude_or_sensitivity
30,3587,Graham@Butler,948,948,568,380,224,568,380,0.39436619718309857,True,exclude_or_sensitivity
67,1542,Kennedy Hall,939,939,939,0,839,939,0,0.8935037273695421,False,exclude_or_sensitivity
21,1555,Vet School,934,934,924,10,569,924,10,0.6158008658008658,False,exclude_or_sensitivity
32,1712,Mitchell @ Coll,876,876,597,279,355,597,279,0.5946398659966499,True,exclude_or_sensitivity
