fare_category,paid_policy_period,free_policy_period,All
Cornell,1240597,504722,1745319
Cornell Override,64092,147404,211496
Free Fares,13278,5734,19012
IC,43038,48212,91250
IC Override,1667,7628,9295
Period-based Regular Fares,90701,30856,121557
Ride-based Half Fares,45307,17367,62674
Ride-based Regular Fares,214240,94858,309098
TC3 Override,92,134,226
Transfer,7746,2285,10031
Unspecified / No Description,2,594978,594980
All,1720760,1454178,3174938
