route,boards_pre,cornell_card_share_pre,cornell_override_share_pre,cornell_any_observed_share_pre,boards_post,cornell_card_share_post,cornell_override_share_post,cornell_any_observed_share_post,boards_sum
30,179952.0,0.7342846981417267,0.0551202542900329,0.7894049524317596,150910.0,0.6512689682592273,0.18287721158306275,0.8341461798422901,330862.0
81,79031.0,0.9034049929774393,0.038491224962356546,0.9418962179397957,36886.0,0.8273328634170146,0.1263623054817546,0.9536951688987692,115917.0
32,36847.0,0.7702662360572096,0.03126441772735908,0.8015306537845687,21422.0,0.780039212025021,0.09873027728503407,0.878769489310055,58269.0
82,28253.0,0.8692882171804764,0.022333911443032598,0.891622128623509,14570.0,0.8244337680164722,0.10652024708304736,0.9309540150995196,42823.0
51,21302.0,0.7925546897004976,0.019763402497418082,0.8123180921979157,15563.0,0.7182419841932789,0.1263895135899248,0.8446314977832038,36865.0
90,,,,,27464.0,0.6647247305563647,0.26583891639965046,0.9305636469560151,27464.0
11,16329.0,0.06589503337620185,0.00526670341110907,0.07116173678731091,10988.0,0.10456862031306881,0.011103021477975974,0.11567164179104478,27317.0
15,14718.0,0.31546405761652396,0.01800516374507406,0.33346922136159807,7567.0,0.393947403198097,0.07400555041628122,0.4679529536143782,22285.0
10,20866.0,0.7943544522189208,0.03028850762005176,0.8246429598389725,418.0,0.5119617224880383,0.1507177033492823,0.6626794258373205,21284.0
43,13774.0,0.537897488020909,0.017714534630463193,0.5556120226513721,4173.0,0.4497963096093937,0.04672897196261682,0.49652528157201054,17947.0
14,11118.0,0.16100017988846915,0.013761467889908258,0.1747616477783774,6198.0,0.1510164569215876,0.01952242658922233,0.17053888351080995,17316.0
37,14346.0,0.7998745294855709,0.023212045169385194,0.823086574654956,2357.0,0.7352566822231651,0.12643190496393722,0.8616885871871023,16703.0
21,11982.0,0.6170088466032382,0.009681188449340678,0.6266900350525789,1855.0,0.2695417789757412,0.0431266846361186,0.31266846361185985,13837.0
92,,,,,10818.0,0.5652616010353115,0.3256609354779072,0.8909225365132187,10818.0
31,7342.0,0.6526831925905747,0.1470988831381095,0.7997820757286843,3192.0,0.6174812030075187,0.16165413533834586,0.7791353383458647,10534.0
67,8158.0,0.5954890904633489,0.010419220397156165,0.605908310860505,2140.0,0.3168224299065421,0.08037383177570094,0.397196261682243,10298.0
52,4708.0,0.7406542056074766,0.046941376380628716,0.7875955819881053,1783.0,0.5485137408861469,0.10992708917554683,0.6584408300616937,6491.0
65,5598.0,0.5650232225794927,0.030010718113612004,0.5950339406931047,419.0,0.3412887828162291,0.050119331742243436,0.3914081145584726,6017.0
40,4587.0,0.6405057771964247,0.028122956180510136,0.6686287333769348,234.0,0.36752136752136755,0.02564102564102564,0.39316239316239315,4821.0
20,4008.0,0.5254491017964071,0.009231536926147704,0.5346806387225549,20.0,0.35,0.0,0.35,4028.0
13,2785.0,0.05960502692998205,0.25888689407540394,0.318491921005386,868.0,0.04377880184331797,0.3548387096774194,0.3986175115207373,3653.0
36,2732.0,0.6896046852122987,0.030380673499267936,0.7199853587115667,45.0,0.13333333333333333,0.17777777777777778,0.3111111111111111,2777.0
14S,1523.0,0.06106369008535785,0.001969796454366382,0.06303348653972422,23.0,0.043478260869565216,0.0,0.043478260869565216,1546.0
17,543.0,0.565377532228361,0.020257826887661142,0.585635359116022,267.0,0.4606741573033708,0.06367041198501873,0.5243445692883895,810.0
22,798.0,0.08145363408521303,0.002506265664160401,0.08395989974937343,,,,,798.0
