fare_group,paid_policy_period,free_policy_period,All
blank_or_got_fare,110738,668657,779395
cornell_card,1240597,504722,1745319
cornell_override,64092,147404,211496
other_fare,305333,133395,438728
All,1720760,1454178,3174938
