Stop_Id_vhist,Stop_Name_vhist,boards,routes,cornell_card,cornell_override,cornell_card_share,cornell_any_observed_share
1311,Highlnd@Thurstn,2,31,1,0,0.5,0.5
355,Aurora @ Hillvi,2,65,1,0,0.5,0.5
3735,10Brentwood,2,32,1,0,0.5,0.5
4527,Dryden@BakerHil,2,"40,43",1,0,0.5,0.5
5736,BDale @ Slater,2,52,1,0,0.5,0.5
6321,Danby Rd @ King,2,65,1,0,0.5,0.5
717,Haller @ Elm,2,14,1,0,0.5,0.5
3579,Trphamr@CayuMal,165,30,82,2,0.49696969696969695,0.509090909090909
569,Elmira @ Spence,488,67,242,1,0.4959016393442623,0.4979508196721312
3748,Warren @ Bomax,159,37,78,2,0.49056603773584906,0.5031446540880503
1363,Triphammer @ Oa,51,32,25,1,0.49019607843137253,0.5098039215686274
1512,Baker Flag Slop,529,92,258,193,0.4877126654064272,0.8525519848771267
565,323 Elmira Rd -,113,67,55,1,0.48672566371681414,0.49557522123893805
108,Cayuga @ Buffal,101,"13,17",49,2,0.48514851485148514,0.504950495049505
4375,GrotonTownHall,29,"40,43",14,0,0.4827586206896552,0.4827586206896552
561,Elmira @ Meadow,1575,"14S,15,67",760,27,0.48253968253968255,0.4996825396825397
4387,Cortland_Cayuga,54,"40,43",26,3,0.48148148148148145,0.5370370370370371
1508,University @ St,267,"36,92",128,81,0.4794007490636704,0.7827715355805244
2564,Trumansburg Rd ,165,21,79,3,0.47878787878787876,0.49696969696969695
1357,Trphamr@Jessup,46,32,22,0,0.4782608695652174,0.4782608695652174
1512,BakerFlag Slope,23,92,11,12,0.4782608695652174,1.0
3511,Trip @ Hanshaw,400,"31,32,36",190,26,0.475,0.54
4773,PoetsLndgApts,36,43,17,1,0.4722222222222222,0.5
6351,Danby TH P+R,68,65,32,0,0.47058823529411764,0.47058823529411764
3555,Gaslight Villag,17,32,8,0,0.47058823529411764,0.47058823529411764
3593,Tops Supermarke,8265,30,3879,174,0.4693284936479129,0.4903811252268603
559,Medow@IthShopPl,79,"14S,15,67",37,0,0.46835443037974683,0.46835443037974683
4335,Groton Rd @ Per,13,"40,43",6,0,0.46153846153846156,0.46153846153846156
4718,DrydnVilMainLib,330,43,152,5,0.46060606060606063,0.47575757575757577
369,Danby @ Vista,162,"11,65",74,1,0.4567901234567901,0.46296296296296297
108,Cayuga@Buffalo,11,"13,17",5,1,0.45454545454545453,0.5454545454545454
3515,Tripham@Texas,11,30,5,1,0.45454545454545453,0.5454545454545454
539,Cecil Malone Dr,11,14S,5,0,0.45454545454545453,0.45454545454545453
1768,PineTree @ EHP,322,"51,52",146,10,0.453416149068323,0.484472049689441
705,Chestnut Hill A,550,14,249,5,0.4527272727272727,0.4618181818181818
3137,LansingTwnHl,84,"36,37",38,2,0.4523809523809524,0.47619047619047616
3584,YMCA,399,30,180,8,0.45112781954887216,0.47117794486215536
669,State@InletIsln,78,"14,20",35,1,0.44871794871794873,0.46153846153846156
2334,EnfieldParkRide,38,20,17,0,0.4473684210526316,0.4473684210526316
3764,Vill Solars N,85,37,38,1,0.4470588235294118,0.4588235294117647
998,TCAT Office,103,"13,17",46,11,0.44660194174757284,0.5533980582524272
6368,South Danby Par,18,65,8,0,0.4444444444444444,0.4444444444444444
663,State/MLK @ Mea,502,14,222,3,0.44223107569721115,0.448207171314741
3711,Pleasant Grove ,25,"30,37",11,0,0.44,0.44
3785,Airport,873,32,383,36,0.43871706758304696,0.47995418098510884
780,Clif@VinegarHil,16,"14S,21",7,0,0.4375,0.4375
327,Coddington @ Hu,222,"11,65",97,1,0.4369369369369369,0.44144144144144143
3587,Graham@Butler,1268,"30,36",553,45,0.4361198738170347,0.471608832807571
3781,Thornwood @ Bro,127,32,55,3,0.4330708661417323,0.4566929133858268
2323,Mecklenburg Rd ,37,20,16,0,0.43243243243243246,0.43243243243243246
323,Hudson@Pearsall,154,"11,65",66,23,0.42857142857142855,0.577922077922078
1309,Thurston @ High,28,92,12,10,0.42857142857142855,0.7857142857142857
5530,Honness @ Pine ,28,51,12,3,0.42857142857142855,0.5357142857142857
3137,Lansing Town Ha,21,"36,37",9,0,0.42857142857142855,0.42857142857142855
